item_id,book_author                                                                     ,item_year_of_release,item_title                                                                            ,item_rating,image_url                                                                               ,small_image_url
1      ,Suzanne Collins                                                                 ,2008.0              ,The Hunger Games                                                                      ,4.34       ,https://images.gr-assets.com/books/1447303603m/2767052.jpg                              ,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2      ,"J.K. Rowling, Mary GrandPré"                                                   ,1997.0              ,Harry Potter and the Philosopher's Stone                                              ,4.44       ,https://images.gr-assets.com/books/1474154022m/3.jpg                                    ,https://images.gr-assets.com/books/1474154022s/3.jpg
3      ,Stephenie Meyer                                                                 ,2005.0              ,Twilight                                                                              ,3.57       ,https://images.gr-assets.com/books/1361039443m/41865.jpg                                ,https://images.gr-assets.com/books/1361039443s/41865.jpg
4      ,Harper Lee                                                                      ,1960.0              ,To Kill a Mockingbird                                                                 ,4.25       ,https://images.gr-assets.com/books/1361975680m/2657.jpg                                 ,https://images.gr-assets.com/books/1361975680s/2657.jpg
5      ,F. Scott Fitzgerald                                                             ,1925.0              ,The Great Gatsby                                                                      ,3.89       ,https://images.gr-assets.com/books/1490528560m/4671.jpg                                 ,https://images.gr-assets.com/books/1490528560s/4671.jpg
6      ,John Green                                                                      ,2012.0              ,The Fault in Our Stars                                                                ,4.26       ,https://images.gr-assets.com/books/1360206420m/11870085.jpg                             ,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7      ,J.R.R. Tolkien                                                                  ,1937.0              ,The Hobbit or There and Back Again                                                    ,4.25       ,https://images.gr-assets.com/books/1372847500m/5907.jpg                                 ,https://images.gr-assets.com/books/1372847500s/5907.jpg
8      ,J.D. Salinger                                                                   ,1951.0              ,The Catcher in the Rye                                                                ,3.79       ,https://images.gr-assets.com/books/1398034300m/5107.jpg                                 ,https://images.gr-assets.com/books/1398034300s/5107.jpg
9      ,Dan Brown                                                                       ,2000.0              ,Angels & Demons                                                                       ,3.85       ,https://images.gr-assets.com/books/1303390735m/960.jpg                                  ,https://images.gr-assets.com/books/1303390735s/960.jpg
10     ,Jane Austen                                                                     ,1813.0              ,Pride and Prejudice                                                                   ,4.24       ,https://images.gr-assets.com/books/1320399351m/1885.jpg                                 ,https://images.gr-assets.com/books/1320399351s/1885.jpg
11     ,Khaled Hosseini                                                                 ,2003.0              ,The Kite Runner                                                                       ,4.26       ,https://images.gr-assets.com/books/1484565687m/77203.jpg                                ,https://images.gr-assets.com/books/1484565687s/77203.jpg
12     ,Veronica Roth                                                                   ,2011.0              ,Divergent                                                                             ,4.24       ,https://images.gr-assets.com/books/1328559506m/13335037.jpg                             ,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13     ,"George Orwell, Erich Fromm, Celâl Üster"                                       ,1949.0              ,Nineteen Eighty-Four                                                                  ,4.14       ,https://images.gr-assets.com/books/1348990566m/5470.jpg                                 ,https://images.gr-assets.com/books/1348990566s/5470.jpg
14     ,George Orwell                                                                   ,1945.0              ,Animal Farm: A Fairy Story                                                            ,3.87       ,https://images.gr-assets.com/books/1424037542m/7613.jpg                                 ,https://images.gr-assets.com/books/1424037542s/7613.jpg
15     ,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"                        ,1947.0              ,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944                         ,4.1        ,https://images.gr-assets.com/books/1358276407m/48855.jpg                                ,https://images.gr-assets.com/books/1358276407s/48855.jpg
16     ,"Stieg Larsson, Reg Keeland"                                                    ,2005.0              ,Män som hatar kvinnor                                                                 ,4.11       ,https://images.gr-assets.com/books/1327868566m/2429135.jpg                              ,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17     ,Suzanne Collins                                                                 ,2009.0              ,Catching Fire                                                                         ,4.3        ,https://images.gr-assets.com/books/1358273780m/6148028.jpg                              ,https://images.gr-assets.com/books/1358273780s/6148028.jpg
